"Campaign name",Day,Reach,Impressions,Currency,"Amount spent (USD)","Link clicks","CTR (all)","CPM (cost per 1,000 impressions)","Reporting starts","Reporting ends"
SOWL_W2W_US-ES_PURCH_NC_16.06.25_AAA,2025-06-18,7117,7337,USD,158.92,103,1.85361865,21.66007905,2025-06-18,2025-06-18
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-18,82600,89577,USD,362.12,1883,2.79759313,4.04255557,2025-06-18,2025-06-18
SOWL_W2W_WW-ES_PURCH_NC_16.06.25_AAA,2025-06-18,53977,55722,USD,232.08,778,1.75873084,4.16496177,2025-06-18,2025-06-18
SOWL_W2W_US-ES_PURCH_NC_16.06.25_AAA,2025-06-17,5643,5643,USD,149.38,72,1.63033847,26.47173489,2025-06-17,2025-06-17
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-17,24412,25730,USD,143.54,508,2.36300039,5.5787019,2025-06-17,2025-06-17
SOWL_W2W_WW-ES_PURCH_NC_16.06.25_AAA,2025-06-17,39652,41502,USD,211.72,556,1.69630379,5.10144089,2025-06-17,2025-06-17
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-16,19431,24471,USD,229.21,1224,7.62943893,9.3665972,2025-06-16,2025-06-16
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-15,46015,61945,USD,531.49,2841,7.07724594,8.58003067,2025-06-15,2025-06-15
SOWL_W2W_T1_PURCH_NC_12.06.25_AAA,2025-06-14,2085,2168,USD,15.78,56,3.27490775,7.27859779,2025-06-14,2025-06-14
SOWL_IOS_W2W_WW_PURCH_IK_100625_291317110545925_1,2025-06-14,179,180,USD,0.6,3,2.22222222,3.33333333,2025-06-14,2025-06-14
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-14,35617,49118,USD,427.75,2305,7.31300134,8.70862006,2025-06-14,2025-06-14
SOWL_W2W_T1_PURCH_NC_12.06.25_AAA,2025-06-13,66731,71865,USD,385.29,1305,2.2375287,5.36130244,2025-06-13,2025-06-13
SOWL_IOS_W2W_WW_PURCH_IK_100625_291317110545925_1,2025-06-13,127166,127166,USD,181.98,857,0.77615086,1.43104289,2025-06-13,2025-06-13
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-13,33547,44467,USD,331.17,2118,7.75181595,7.44754537,2025-06-13,2025-06-13
SOWL_IOS_W2W_WW_PURCH_IK_100625_291317110545925_1,2025-06-12,102894,108896,USD,207.81,738,0.80443726,1.90833456,2025-06-12,2025-06-12
SOWL_W2W_T1_PURCH_NC_12.06.25_AAA,2025-06-12,24678,25534,USD,158.56,517,2.36155714,6.20975954,2025-06-12,2025-06-12
SOWL_W2W_WW_PURCH_NC_11.06.25_AAA,2025-06-12,127830,130881,USD,308.1,2070,1.9345818,2.35404681,2025-06-12,2025-06-12
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-12,44889,56670,USD,366.68,2677,7.39544733,6.47044292,2025-06-12,2025-06-12
SOWL_W2W_WW_PURCH_NC_11.06.25_AAA,2025-06-11,30216,31433,USD,99.22,507,1.9342729,3.15655521,2025-06-11,2025-06-11
SOWL_IOS_W2W_WW_PURCH_IK_100625_291317110545925_1,2025-06-11,31436,31869,USD,85.73,397,1.38065204,2.69007499,2025-06-11,2025-06-11
SOWL_W2W_US_PURCH_NC_10.06.25_AAA,2025-06-11,431,436,USD,49.45,23,5.73394495,113.41743119,2025-06-11,2025-06-11
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-11,37081,48726,USD,362.26,2489,7.82333867,7.43463449,2025-06-11,2025-06-11
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-10,52278,66128,USD,427.36,2758,7.11952577,6.46261795,2025-06-10,2025-06-10
SOWL_IOS_W2W_US_IK_050625_291317110545925_3,2025-06-10,308,316,USD,14.56,17,6.01265823,46.07594937,2025-06-10,2025-06-10
SOWL_W2W_US_PURCH_NC_10.06.25_AAA,2025-06-10,1280,1345,USD,109.23,25,2.60223048,81.21189591,2025-06-10,2025-06-10
SOWL_IOS_W2W_WW_PURCH_IK_100625_291317110545925_1,2025-06-10,30028,30420,USD,69.68,371,1.34122288,2.29059829,2025-06-10,2025-06-10
SOWL_IOS_W2W_US_IK_050625_291317110545925_3,2025-06-09,707,729,USD,35.24,46,6.85871056,48.34019204,2025-06-09,2025-06-09
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-09,79269,102604,USD,670.15,4306,7.56988032,6.53142178,2025-06-09,2025-06-09
SOWL_IOS_W2W_US_IK_050625_291317110545925_3,2025-06-08,741,781,USD,32.44,31,4.60947503,41.53649168,2025-06-08,2025-06-08
SOWL_IOS_W2W_US_IK_050625_291317110545925_2,2025-06-08,460,463,USD,17.78,20,4.96760259,38.40172786,2025-06-08,2025-06-08
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-08,95574,136589,USD,1024.94,6139,7.07743669,7.50382534,2025-06-08,2025-06-08
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-07,60068,80584,USD,819.1,3530,5.74431649,10.16454879,2025-06-07,2025-06-07
SOWL_IOS_W2W_US_IK_050625_291317110545925_5,2025-06-07,929,929,USD,13.97,17,2.0452099,15.03767492,2025-06-07,2025-06-07
SOWL_IOS_W2W_US_IK_050625_291317110545925_3,2025-06-07,785,801,USD,33.22,27,3.99500624,41.47315855,2025-06-07,2025-06-07
SOWL_IOS_W2W_US_IK_050625_291317110545925_2,2025-06-07,504,515,USD,27.18,13,3.10679612,52.77669903,2025-06-07,2025-06-07
SOWL_IOS_W2W_US_IK_050625_291317110545925_5,2025-06-06,1246,1252,USD,32.67,29,3.03514377,26.0942492,2025-06-06,2025-06-06
AIGO_W2W_latam_PURCH_NC_06.06.25_AAA,2025-06-06,2863,3119,USD,34.19,152,6.28406541,10.96184675,2025-06-06,2025-06-06
SOWL_IOS_W2W_US_IK_050625_291317110545925_4,2025-06-06,236,239,USD,17.19,12,5.85774059,71.92468619,2025-06-06,2025-06-06
SOWL_IOS_W2W_US_IK_050625_291317110545925_3,2025-06-06,822,834,USD,30.43,22,3.117506,36.48681055,2025-06-06,2025-06-06
SOWL_IOS_W2W_US_IK_050625_291317110545925_2,2025-06-06,291,292,USD,29.85,28,10.95890411,102.2260274,2025-06-06,2025-06-06
SOWL_IOS_W2W_US_IK_050625_291317110545925_1,2025-06-06,245,247,USD,13.25,5,1.6194332,53.6437247,2025-06-06,2025-06-06
SOWL_IOS_W2W_US_IK_050625_291317110545925_3,2025-06-05,309,309,USD,12.36,10,4.20711974,40,2025-06-05,2025-06-05
SOWL_IOS_W2W_US_IK_050625_291317110545925_2,2025-06-05,145,145,USD,18.99,10,6.89655172,130.96551724,2025-06-05,2025-06-05
SOWL_IOS_W2W_US_IK_050625_291317110545925_1,2025-06-05,158,159,USD,17.52,4,3.14465409,110.18867925,2025-06-05,2025-06-05
SOWL_IOS_W2W_US_IK_050625_291317110545925_4,2025-06-05,315,318,USD,12.94,4,1.25786164,40.6918239,2025-06-05,2025-06-05
SOWL_IOS_W2W_US_IK_050625_291317110545925_5,2025-06-05,260,265,USD,18.98,15,6.03773585,71.62264151,2025-06-05,2025-06-05
AIGO_IOS_W2W_ENGL_PURCH_SS_28.05.25_BWV_858139935855502,2025-05-31,624,814,USD,44.49,34,5.8968059,54.65601966,2025-05-31,2025-05-31
AIGO_IOS_W2W_ENGL_PURCH_SS_28.05.25_BWV_858139935855502,2025-05-30,1318,1735,USD,97.97,129,7.66570605,56.46685879,2025-05-30,2025-05-30
AIGO_IOS_W2W_ENGL_PURCH_SS_28.05.25_BWV_858139935855502,2025-05-29,647,684,USD,27.69,38,7.60233918,40.48245614,2025-05-29,2025-05-29
